neighbourhood;room_type;price;number_of_reviews
Manhattan;Shared room;50;67
Manhattan;Entire home/apt;175;3
Manhattan;Entire home/apt;133;7
Brooklyn;Private room;62;208
Queens;Private room;90;36
Brooklyn;Private room;99;46
Brooklyn;Private room;61;2
Queens;Entire home/apt;120;268
Queens;Private room;100;107
Manhattan;Shared room;32;32
Manhattan;Private room;80;11
Brooklyn;Entire home/apt;90;5
Brooklyn;Entire home/apt;180;0
Manhattan;Private room;65;2
Bronx;Private room;49;2
Manhattan;Entire home/apt;100;1
Brooklyn;Entire home/apt;380;75
Manhattan;Private room;26;0
Manhattan;Entire home/apt;100;2
Manhattan;Private room;90;1
Manhattan;Private room;89;0
Bronx;Private room;35;7
Brooklyn;Private room;66;1
Manhattan;Private room;285;32
Manhattan;Private room;46;2
Manhattan;Entire home/apt;275;4
Brooklyn;Private room;89;0
Manhattan;Entire home/apt;250;1
Brooklyn;Entire home/apt;200;50
Brooklyn;Entire home/apt;175;15
Manhattan;Entire home/apt;140;144
Manhattan;Entire home/apt;133;9
Manhattan;Entire home/apt;150;9
Queens;Private room;55;126
Manhattan;Entire home/apt;142;10
Manhattan;Entire home/apt;95;1
Manhattan;Entire home/apt;165;0
Brooklyn;Entire home/apt;150;7
Manhattan;Private room;99;2
Manhattan;Entire home/apt;133;7
Brooklyn;Entire home/apt;150;125
Queens;Entire home/apt;190;1
Brooklyn;Private room;60;0
Brooklyn;Entire home/apt;106;7
Brooklyn;Entire home/apt;165;0
Brooklyn;Entire home/apt;190;181
Queens;Private room;750;0
Bronx;Entire home/apt;150;58
Brooklyn;Entire home/apt;150;0
Manhattan;Entire home/apt;119;1
Brooklyn;Private room;62;244
Manhattan;Private room;99;5
Brooklyn;Private room;34;91
Manhattan;Entire home/apt;129;78
Brooklyn;Entire home/apt;105;10
Manhattan;Entire home/apt;229;0
Manhattan;Entire home/apt;350;0
Manhattan;Entire home/apt;205;71
Queens;Private room;85;15
Queens;Private room;30;0
Manhattan;Entire home/apt;150;5
Manhattan;Entire home/apt;186;169
Brooklyn;Private room;50;0
Brooklyn;Entire home/apt;200;12
Manhattan;Entire home/apt;172;13
Manhattan;Entire home/apt;250;1
Manhattan;Entire home/apt;133;5
Manhattan;Entire home/apt;150;4
Manhattan;Entire home/apt;290;62
Queens;Entire home/apt;120;4
Bronx;Entire home/apt;95;227
Manhattan;Entire home/apt;120;1
Manhattan;Entire home/apt;165;141
Brooklyn;Private room;50;0
Manhattan;Entire home/apt;180;10
Brooklyn;Private room;38;0
Brooklyn;Entire home/apt;85;39
Manhattan;Entire home/apt;145;3
Brooklyn;Private room;29;142
Brooklyn;Entire home/apt;120;6
Manhattan;Entire home/apt;117;9
Brooklyn;Entire home/apt;70;1
Manhattan;Entire home/apt;180;0
Brooklyn;Entire home/apt;115;4
Brooklyn;Entire home/apt;225;110
Manhattan;Entire home/apt;140;4
Bronx;Private room;45;6
Manhattan;Private room;119;1
Manhattan;Entire home/apt;125;8
Brooklyn;Private room;46;0
Brooklyn;Private room;50;0
Brooklyn;Entire home/apt;150;1
Manhattan;Entire home/apt;120;20
Brooklyn;Private room;45;108
Brooklyn;Private room;115;39
Manhattan;Private room;95;0
Manhattan;Entire home/apt;110;1
Brooklyn;Entire home/apt;250;5
Brooklyn;Entire home/apt;300;46
Queens;Private room;45;50
Manhattan;Entire home/apt;159;8
Manhattan;Entire home/apt;220;3
Manhattan;Entire home/apt;159;3
Manhattan;Entire home/apt;70;144
Brooklyn;Private room;45;2
Manhattan;Private room;40;0
Manhattan;Private room;81;102
Manhattan;Entire home/apt;190;46
Manhattan;Entire home/apt;225;24
Manhattan;Shared room;360;0
Manhattan;Entire home/apt;125;104
Queens;Entire home/apt;95;1
Queens;Entire home/apt;62;1
Manhattan;Entire home/apt;150;17
Brooklyn;Entire home/apt;495;10
Manhattan;Entire home/apt;130;74
Brooklyn;Private room;80;7
Brooklyn;Private room;89;199
Brooklyn;Private room;55;0
Manhattan;Entire home/apt;140;183
Manhattan;Private room;60;1
Manhattan;Entire home/apt;142;3
Manhattan;Entire home/apt;125;11
Manhattan;Entire home/apt;133;7
Brooklyn;Entire home/apt;200;45
Brooklyn;Entire home/apt;85;2
Manhattan;Entire home/apt;625;12
Manhattan;Private room;100;33
Brooklyn;Entire home/apt;176;12
Manhattan;Entire home/apt;175;179
Staten Island;Entire home/apt;75;81
Manhattan;Entire home/apt;245;0
Manhattan;Entire home/apt;125;11
Manhattan;Entire home/apt;159;3
Bronx;Entire home/apt;110;0
Manhattan;Entire home/apt;150;7
Brooklyn;Entire home/apt;99;88
Brooklyn;Private room;49;86
Brooklyn;Private room;140;141
Brooklyn;Entire home/apt;200;1
Manhattan;Entire home/apt;148;5
Manhattan;Entire home/apt;165;7
Brooklyn;Private room;59;33
Brooklyn;Private room;45;17
Brooklyn;Private room;45;16
Manhattan;Entire home/apt;225;25
Manhattan;Private room;70;54
Queens;Entire home/apt;95;102
Brooklyn;Entire home/apt;100;28
Queens;Private room;59;75
Manhattan;Private room;50;0
Manhattan;Entire home/apt;400;0
Manhattan;Entire home/apt;100;3
Manhattan;Entire home/apt;199;157
Brooklyn;Private room;35;165
Brooklyn;Private room;65;0
Brooklyn;Entire home/apt;95;9
Bronx;Private room;60;63
Manhattan;Entire home/apt;200;107
Manhattan;Entire home/apt;200;43
Manhattan;Private room;50;21
Manhattan;Private room;102;29
Manhattan;Entire home/apt;152;1
Brooklyn;Entire home/apt;490;1
Manhattan;Entire home/apt;250;1
Manhattan;Entire home/apt;450;6
Brooklyn;Entire home/apt;98;15
Brooklyn;Entire home/apt;199;0
Queens;Private room;50;1
Brooklyn;Entire home/apt;109;25
Brooklyn;Entire home/apt;145;18
Manhattan;Private room;96;0
Brooklyn;Entire home/apt;165;5
Brooklyn;Private room;65;1
Manhattan;Entire home/apt;130;118
Manhattan;Entire home/apt;120;11
Brooklyn;Entire home/apt;165;3
Brooklyn;Entire home/apt;200;9
Manhattan;Private room;122;12
Manhattan;Entire home/apt;400;2
Brooklyn;Private room;54;0
Brooklyn;Private room;54;0
Brooklyn;Private room;54;0
Manhattan;Private room;250;2
Manhattan;Entire home/apt;120;9
Brooklyn;Private room;75;0
Queens;Private room;65;5
Brooklyn;Private room;60;0
Brooklyn;Entire home/apt;179;0
Queens;Private room;43;105
Manhattan;Entire home/apt;130;0
Manhattan;Entire home/apt;154;78
Brooklyn;Entire home/apt;135;10
Queens;Private room;86;4
Brooklyn;Private room;85;61
Queens;Entire home/apt;80;68
Brooklyn;Private room;70;2
Brooklyn;Private room;65;0
Manhattan;Entire home/apt;100;7
Manhattan;Entire home/apt;130;1
Brooklyn;Entire home/apt;139;67
Brooklyn;Private room;35;9
Brooklyn;Entire home/apt;100;1
Manhattan;Private room;60;0
Manhattan;Entire home/apt;133;7
Manhattan;Entire home/apt;275;136
Manhattan;Private room;112;0
Manhattan;Entire home/apt;142;9
Brooklyn;Entire home/apt;135;22
Brooklyn;Entire home/apt;165;19
Manhattan;Entire home/apt;200;0
Manhattan;Entire home/apt;425;0
Manhattan;Entire home/apt;110;2
Brooklyn;Private room;40;0
Manhattan;Private room;70;169
Manhattan;Private room;65;6
Queens;Entire home/apt;95;3
Brooklyn;Private room;100;0
Manhattan;Entire home/apt;140;4
Manhattan;Entire home/apt;150;0
Brooklyn;Entire home/apt;115;5
Manhattan;Private room;74;3
Brooklyn;Entire home/apt;175;6
Manhattan;Entire home/apt;275;1
Queens;Entire home/apt;110;6
Manhattan;Private room;69;1
Brooklyn;Private room;50;3
Brooklyn;Private room;85;12
Manhattan;Private room;110;0
Manhattan;Entire home/apt;142;7
Manhattan;Private room;75;18
Manhattan;Entire home/apt;133;3
Manhattan;Private room;79;1
Bronx;Entire home/apt;80;2
Manhattan;Entire home/apt;239;2
Manhattan;Entire home/apt;100;0
Brooklyn;Entire home/apt;159;3
Manhattan;Entire home/apt;140;1
Manhattan;Entire home/apt;250;23
Brooklyn;Entire home/apt;135;193
Brooklyn;Private room;65;94
Manhattan;Private room;75;1
Manhattan;Entire home/apt;195;3
Brooklyn;Entire home/apt;99;35
Manhattan;Private room;70;25
Manhattan;Entire home/apt;199;0
Manhattan;Private room;65;36
Brooklyn;Entire home/apt;245;3
Manhattan;Entire home/apt;150;17
Brooklyn;Private room;55;1
Manhattan;Entire home/apt;650;42
Queens;Private room;50;1
Brooklyn;Entire home/apt;81;43
Manhattan;Entire home/apt;92;4
Manhattan;Private room;105;14
Manhattan;Private room;89;1
Brooklyn;Entire home/apt;348;1
Brooklyn;Entire home/apt;168;63
Brooklyn;Private room;65;52
Manhattan;Entire home/apt;100;0
Manhattan;Entire home/apt;175;130
Brooklyn;Entire home/apt;100;113
Brooklyn;Entire home/apt;119;121
Brooklyn;Entire home/apt;105;22
Brooklyn;Entire home/apt;200;0
Manhattan;Entire home/apt;290;69
Brooklyn;Private room;62;0
Manhattan;Private room;70;0
Brooklyn;Entire home/apt;65;1
Manhattan;Private room;60;2
Manhattan;Entire home/apt;160;2
Queens;Shared room;45;17
Manhattan;Entire home/apt;595;51
Brooklyn;Private room;60;5
Brooklyn;Private room;95;0
Brooklyn;Private room;150;2
Manhattan;Entire home/apt;200;0
Manhattan;Private room;160;2
Manhattan;Entire home/apt;300;88
Brooklyn;Entire home/apt;99;3
Brooklyn;Entire home/apt;150;0
Queens;Private room;35;7
Brooklyn;Entire home/apt;170;2
Manhattan;Private room;65;0
Brooklyn;Shared room;38;27
Brooklyn;Private room;60;0
Manhattan;Entire home/apt;500;72
Brooklyn;Private room;85;1
Brooklyn;Entire home/apt;110;4
Manhattan;Private room;60;6
Manhattan;Entire home/apt;148;44
Manhattan;Entire home/apt;133;72
Manhattan;Entire home/apt;160;0
Manhattan;Entire home/apt;250;1
Queens;Private room;95;13
Manhattan;Private room;69;7
Queens;Entire home/apt;180;1
Manhattan;Private room;40;16
Brooklyn;Private room;85;6
Brooklyn;Private room;65;11
Brooklyn;Private room;55;4
Manhattan;Shared room;75;4
Manhattan;Entire home/apt;125;11
Bronx;Private room;26;21
Brooklyn;Entire home/apt;175;28
Brooklyn;Private room;85;66
Brooklyn;Entire home/apt;179;0
Brooklyn;Private room;75;0
Brooklyn;Private room;76;1
Manhattan;Entire home/apt;225;87
Manhattan;Private room;40;6
Manhattan;Entire home/apt;110;22
Manhattan;Entire home/apt;117;8
Queens;Entire home/apt;78;4
Manhattan;Entire home/apt;800;59
Brooklyn;Entire home/apt;65;152
Manhattan;Entire home/apt;105;181
Brooklyn;Private room;45;3
Queens;Private room;34;89
Manhattan;Entire home/apt;90;0
Brooklyn;Private room;65;0
Queens;Entire home/apt;150;7
Manhattan;Entire home/apt;160;20
Manhattan;Entire home/apt;250;2
Manhattan;Entire home/apt;106;0
Manhattan;Entire home/apt;95;7
Manhattan;Private room;69;4
Brooklyn;Entire home/apt;145;100
Brooklyn;Entire home/apt;75;7
Brooklyn;Entire home/apt;70;37
Brooklyn;Entire home/apt;225;0
Queens;Private room;43;27
Brooklyn;Entire home/apt;121;23
Brooklyn;Private room;50;0
Manhattan;Entire home/apt;198;31
Brooklyn;Private room;109;115
Manhattan;Entire home/apt;199;1
Bronx;Entire home/apt;150;79
Brooklyn;Private room;49;5
Manhattan;Entire home/apt;239;0
Brooklyn;Entire home/apt;100;0
Manhattan;Entire home/apt;239;0
Manhattan;Entire home/apt;239;0
Brooklyn;Entire home/apt;170;21
Manhattan;Entire home/apt;239;1
Brooklyn;Private room;80;1
Manhattan;Entire home/apt;239;0
Manhattan;Entire home/apt;239;0
Manhattan;Entire home/apt;239;0
Manhattan;Entire home/apt;80;2
Brooklyn;Entire home/apt;140;33
Manhattan;Entire home/apt;240;0
Brooklyn;Private room;60;1
Manhattan;Entire home/apt;200;128
Manhattan;Entire home/apt;159;3
Brooklyn;Entire home/apt;65;56
Manhattan;Private room;70;2
Manhattan;Entire home/apt;369;0
Manhattan;Private room;120;9
Manhattan;Entire home/apt;239;0
Manhattan;Private room;125;36
Brooklyn;Entire home/apt;200;6
Manhattan;Private room;50;40
Manhattan;Entire home/apt;120;10
Manhattan;Shared room;100;0
Brooklyn;Private room;80;2
Manhattan;Entire home/apt;140;1
Brooklyn;Entire home/apt;105;66
Brooklyn;Private room;49;3
Brooklyn;Entire home/apt;180;5
Manhattan;Private room;70;3
Manhattan;Entire home/apt;450;45
Brooklyn;Private room;44;5
Brooklyn;Private room;89;102
Brooklyn;Entire home/apt;172;90
Manhattan;Entire home/apt;350;2
Manhattan;Private room;68;49
Manhattan;Private room;52;57
Queens;Private room;70;32
Brooklyn;Entire home/apt;223;1
Brooklyn;Private room;71;0
Brooklyn;Private room;97;2
Manhattan;Private room;75;5
Manhattan;Private room;65;6
Brooklyn;Private room;64;25
Brooklyn;Private room;59;138
Brooklyn;Private room;100;0
Brooklyn;Private room;60;21
Queens;Private room;73;2
Queens;Entire home/apt;219;2
Manhattan;Entire home/apt;999;11
Manhattan;Private room;150;0
Queens;Private room;52;108
Brooklyn;Entire home/apt;90;2
Manhattan;Entire home/apt;150;16
Manhattan;Entire home/apt;325;43
Manhattan;Entire home/apt;170;24
Queens;Entire home/apt;79;64
Brooklyn;Private room;175;17
Manhattan;Private room;75;0
Brooklyn;Entire home/apt;120;70
Manhattan;Private room;72;98
Brooklyn;Entire home/apt;80;0
Manhattan;Entire home/apt;175;0
Manhattan;Entire home/apt;125;15
Manhattan;Private room;200;4
Manhattan;Entire home/apt;1000;19
Brooklyn;Private room;45;1
Manhattan;Entire home/apt;175;6
Brooklyn;Private room;89;5
Bronx;Private room;500;0
Manhattan;Entire home/apt;84;0
Manhattan;Entire home/apt;149;88
Brooklyn;Entire home/apt;110;10
Brooklyn;Private room;40;28
Brooklyn;Entire home/apt;98;14
Manhattan;Entire home/apt;160;36
Manhattan;Shared room;32;0
Manhattan;Entire home/apt;380;6
Brooklyn;Private room;35;1
Brooklyn;Private room;100;0
Manhattan;Entire home/apt;239;0
Brooklyn;Private room;51;0
Manhattan;Entire home/apt;200;3
Manhattan;Entire home/apt;129;0
Manhattan;Entire home/apt;239;0
Manhattan;Entire home/apt;140;4
Manhattan;Entire home/apt;239;0
Manhattan;Private room;56;2
Manhattan;Entire home/apt;239;0
Manhattan;Entire home/apt;239;1
Manhattan;Entire home/apt;239;0
Brooklyn;Private room;37;0
Brooklyn;Private room;91;30
Manhattan;Entire home/apt;170;0
Brooklyn;Entire home/apt;169;13
Manhattan;Private room;35;9
Brooklyn;Entire home/apt;180;2
Brooklyn;Private room;55;4
Manhattan;Entire home/apt;239;1
Manhattan;Entire home/apt;239;0
Manhattan;Private room;175;1
Brooklyn;Entire home/apt;67;88
Manhattan;Entire home/apt;239;0
Manhattan;Private room;65;5
Manhattan;Entire home/apt;125;9
Brooklyn;Entire home/apt;200;16
Brooklyn;Entire home/apt;81;9
Manhattan;Entire home/apt;325;99
Manhattan;Entire home/apt;333;246
Manhattan;Private room;90;0
Manhattan;Entire home/apt;245;24
Brooklyn;Private room;90;6
Manhattan;Entire home/apt;999;54
Queens;Entire home/apt;165;0
Manhattan;Entire home/apt;400;1
Manhattan;Entire home/apt;160;2
Brooklyn;Entire home/apt;75;3
Manhattan;Entire home/apt;206;55
Manhattan;Private room;70;16
Brooklyn;Private room;65;1
Brooklyn;Entire home/apt;126;181
Brooklyn;Private room;40;0
Manhattan;Entire home/apt;239;0
Brooklyn;Entire home/apt;129;6
Brooklyn;Entire home/apt;92;5
Manhattan;Private room;82;106
Manhattan;Entire home/apt;369;1
Manhattan;Entire home/apt;369;0
Manhattan;Entire home/apt;99;172
Brooklyn;Private room;78;0
Brooklyn;Private room;44;0
Manhattan;Entire home/apt;160;0
Manhattan;Entire home/apt;220;81
Bronx;Entire home/apt;125;142
Manhattan;Entire home/apt;99;9
Manhattan;Entire home/apt;75;13
Manhattan;Entire home/apt;300;3
Manhattan;Entire home/apt;140;8
Manhattan;Private room;98;2
Manhattan;Private room;99;150
Manhattan;Entire home/apt;178;2
Queens;Private room;59;0
Brooklyn;Entire home/apt;75;48
Queens;Private room;225;35
Manhattan;Private room;60;5
Manhattan;Entire home/apt;268;3
Brooklyn;Entire home/apt;300;0
Manhattan;Entire home/apt;177;12
Bronx;Private room;60;47
Manhattan;Private room;60;8
Bronx;Private room;55;31
Bronx;Private room;60;77
Brooklyn;Entire home/apt;135;38
Brooklyn;Private room;43;0
Manhattan;Entire home/apt;139;186
Manhattan;Entire home/apt;100;6
Brooklyn;Private room;100;5
Queens;Private room;40;48
Manhattan;Private room;55;1
Manhattan;Entire home/apt;175;2
Brooklyn;Entire home/apt;300;33
Manhattan;Private room;45;1
Brooklyn;Entire home/apt;144;49
Brooklyn;Private room;60;129
Manhattan;Private room;250;0
Brooklyn;Private room;45;4
Manhattan;Private room;80;1
Manhattan;Entire home/apt;136;0
Manhattan;Entire home/apt;149;16
Manhattan;Private room;89;62
Manhattan;Private room;110;36
Manhattan;Private room;179;69
Queens;Shared room;500;15
Brooklyn;Entire home/apt;150;11
Queens;Entire home/apt;175;29
Brooklyn;Entire home/apt;79;130
Brooklyn;Entire home/apt;117;1
Brooklyn;Entire home/apt;91;0
Manhattan;Private room;65;3
Manhattan;Entire home/apt;500;0
Manhattan;Private room;85;210
Manhattan;Entire home/apt;150;1
Queens;Private room;80;177
Manhattan;Entire home/apt;200;0
Brooklyn;Entire home/apt;325;76
Manhattan;Private room;95;10
Manhattan;Private room;100;0
Manhattan;Shared room;85;47
Brooklyn;Entire home/apt;115;8
Manhattan;Entire home/apt;111;41
Manhattan;Private room;84;27
Brooklyn;Private room;75;0
Manhattan;Private room;95;4
Brooklyn;Entire home/apt;110;6
Brooklyn;Private room;50;1
Brooklyn;Private room;115;0
Manhattan;Entire home/apt;225;5
Brooklyn;Private room;80;0
Brooklyn;Private room;110;2
Brooklyn;Private room;49;13
Manhattan;Private room;90;60
Queens;Entire home/apt;299;4
Manhattan;Private room;60;5
Manhattan;Entire home/apt;175;3
Manhattan;Entire home/apt;115;18
Brooklyn;Private room;45;0
Brooklyn;Private room;57;0
Manhattan;Entire home/apt;120;2
Brooklyn;Entire home/apt;409;1
Queens;Entire home/apt;350;15
Queens;Private room;95;31
Brooklyn;Private room;49;1
Manhattan;Entire home/apt;155;2
Brooklyn;Entire home/apt;265;123
Brooklyn;Entire home/apt;215;44
Queens;Private room;120;162
Brooklyn;Private room;54;1
Brooklyn;Private room;79;0
Manhattan;Private room;185;0
Manhattan;Entire home/apt;60;16
Queens;Entire home/apt;750;14
Manhattan;Entire home/apt;160;0
Manhattan;Entire home/apt;210;58
Brooklyn;Private room;80;2
Brooklyn;Entire home/apt;85;93
Brooklyn;Entire home/apt;99;43
Manhattan;Entire home/apt;200;0
Brooklyn;Private room;84;181
Brooklyn;Entire home/apt;105;7
Brooklyn;Private room;150;0
Queens;Private room;88;32
Manhattan;Private room;65;0
Brooklyn;Entire home/apt;110;0
Manhattan;Entire home/apt;140;1
Brooklyn;Private room;50;14
Brooklyn;Entire home/apt;175;2
Staten Island;Private room;100;0
Brooklyn;Private room;50;15
Queens;Private room;60;66
Brooklyn;Private room;51;0
Brooklyn;Private room;55;0
Brooklyn;Private room;85;0
Brooklyn;Private room;60;136
Manhattan;Entire home/apt;143;32
Manhattan;Entire home/apt;85;4
Queens;Entire home/apt;110;24
Manhattan;Entire home/apt;449;0
Manhattan;Private room;35;0
Manhattan;Entire home/apt;369;1
Manhattan;Private room;70;0
Brooklyn;Entire home/apt;295;70
Manhattan;Entire home/apt;110;2
Manhattan;Private room;65;2
Manhattan;Entire home/apt;109;8
Brooklyn;Private room;35;2
Brooklyn;Private room;50;3
Brooklyn;Private room;44;8
Manhattan;Entire home/apt;275;70
Manhattan;Private room;110;46
Brooklyn;Entire home/apt;120;1
Brooklyn;Private room;50;4
Brooklyn;Entire home/apt;87;87
Manhattan;Private room;78;0
Manhattan;Private room;49;0
Manhattan;Private room;109;3
Manhattan;Private room;65;1
Manhattan;Private room;150;41
Manhattan;Entire home/apt;225;45
Manhattan;Entire home/apt;100;1
Manhattan;Entire home/apt;125;103
Manhattan;Entire home/apt;115;46
Brooklyn;Private room;62;1
Brooklyn;Private room;50;2
Manhattan;Entire home/apt;200;39
Queens;Entire home/apt;225;6
Manhattan;Entire home/apt;159;5
Manhattan;Entire home/apt;150;4
Brooklyn;Private room;29;4
Brooklyn;Entire home/apt;150;0
Brooklyn;Private room;80;9
Brooklyn;Private room;35;33
Manhattan;Entire home/apt;250;8
Manhattan;Entire home/apt;160;0
Manhattan;Entire home/apt;175;12
Brooklyn;Entire home/apt;150;11
Queens;Entire home/apt;165;3
Brooklyn;Entire home/apt;150;0
Brooklyn;Entire home/apt;159;13
Brooklyn;Entire home/apt;140;108
Brooklyn;Entire home/apt;159;2
Manhattan;Private room;77;17
Brooklyn;Private room;49;3
Brooklyn;Private room;55;56
Brooklyn;Private room;50;113
Manhattan;Entire home/apt;359;96
Brooklyn;Private room;50;3
Brooklyn;Entire home/apt;40;2
Manhattan;Entire home/apt;219;5
Brooklyn;Entire home/apt;189;68
Manhattan;Entire home/apt;140;2
Queens;Entire home/apt;96;17
Brooklyn;Entire home/apt;300;0
Queens;Private room;125;11
Brooklyn;Private room;150;11
Brooklyn;Private room;60;32
Manhattan;Private room;99;51
Brooklyn;Private room;60;15
Manhattan;Entire home/apt;198;37
Manhattan;Entire home/apt;350;124
Brooklyn;Entire home/apt;85;4
Manhattan;Private room;80;0
Brooklyn;Entire home/apt;80;6
Manhattan;Entire home/apt;135;6
Brooklyn;Entire home/apt;61;91
Brooklyn;Private room;45;3
Brooklyn;Private room;70;2
Manhattan;Private room;60;40
Manhattan;Private room;75;46
Brooklyn;Entire home/apt;165;3
Brooklyn;Entire home/apt;112;11
Manhattan;Private room;69;38
Brooklyn;Private room;39;22
Manhattan;Entire home/apt;239;132
Manhattan;Entire home/apt;150;0
Manhattan;Private room;42;0
Manhattan;Entire home/apt;195;0
Manhattan;Entire home/apt;194;5
Brooklyn;Private room;75;1
Brooklyn;Entire home/apt;130;0
Manhattan;Entire home/apt;165;110
Manhattan;Private room;70;0
Manhattan;Entire home/apt;200;3
Brooklyn;Private room;40;0
Brooklyn;Entire home/apt;205;7
Brooklyn;Private room;45;35
Manhattan;Entire home/apt;139;132
Manhattan;Entire home/apt;339;87
Brooklyn;Entire home/apt;49;3
Manhattan;Entire home/apt;190;1
Brooklyn;Entire home/apt;450;17
Brooklyn;Private room;45;103
Brooklyn;Entire home/apt;199;29
Brooklyn;Entire home/apt;55;0
Brooklyn;Private room;33;7
Brooklyn;Entire home/apt;149;5
Brooklyn;Private room;80;54
Brooklyn;Entire home/apt;120;25
Brooklyn;Private room;73;4
Manhattan;Entire home/apt;2500;0
Brooklyn;Private room;44;32
Manhattan;Entire home/apt;105;8
Manhattan;Private room;70;0
Manhattan;Private room;120;17
Brooklyn;Private room;57;33
Queens;Entire home/apt;120;1
Manhattan;Private room;100;40
Manhattan;Entire home/apt;525;49
Brooklyn;Private room;100;0
Brooklyn;Private room;75;3
Brooklyn;Entire home/apt;45;0
Brooklyn;Private room;65;2
Brooklyn;Entire home/apt;132;67
Manhattan;Entire home/apt;350;0
Queens;Private room;50;83
Manhattan;Private room;60;27
Bronx;Private room;59;120
Manhattan;Private room;80;32
Bronx;Entire home/apt;450;81
Brooklyn;Private room;45;7
Manhattan;Entire home/apt;359;126
Manhattan;Private room;200;1
Manhattan;Entire home/apt;120;11
Manhattan;Entire home/apt;140;6
Brooklyn;Entire home/apt;436;9
Manhattan;Entire home/apt;249;9
Manhattan;Entire home/apt;300;0
Brooklyn;Entire home/apt;140;38
Brooklyn;Entire home/apt;170;35
Brooklyn;Entire home/apt;200;0
Brooklyn;Private room;60;2
Manhattan;Private room;94;4
Manhattan;Entire home/apt;399;0
Brooklyn;Private room;45;7
Brooklyn;Private room;60;2
Queens;Private room;169;27
Manhattan;Private room;80;1
Brooklyn;Private room;55;12
Manhattan;Entire home/apt;220;140
Brooklyn;Entire home/apt;235;32
Brooklyn;Entire home/apt;125;2
Queens;Private room;66;1
Manhattan;Private room;80;5
Queens;Private room;40;0
Queens;Private room;57;14
Brooklyn;Private room;48;107
Manhattan;Entire home/apt;99;2
Queens;Private room;40;47
Manhattan;Entire home/apt;250;0
Manhattan;Private room;180;14
Manhattan;Entire home/apt;115;7
Brooklyn;Private room;104;19
Brooklyn;Entire home/apt;325;12
Manhattan;Entire home/apt;299;14
Brooklyn;Private room;40;5
Manhattan;Private room;89;9
Manhattan;Entire home/apt;100;7
Queens;Entire home/apt;59;27
Manhattan;Entire home/apt;300;100
Manhattan;Private room;65;0
Manhattan;Private room;50;74
Manhattan;Entire home/apt;120;0
Manhattan;Private room;125;0
Brooklyn;Private room;80;2
Manhattan;Private room;56;1
Manhattan;Entire home/apt;219;100
Manhattan;Entire home/apt;197;0
Brooklyn;Entire home/apt;260;105
Manhattan;Entire home/apt;115;3
Bronx;Private room;75;63
Brooklyn;Private room;66;1
Queens;Private room;75;21
Manhattan;Entire home/apt;500;0
Queens;Entire home/apt;215;38
Manhattan;Entire home/apt;175;136
Manhattan;Entire home/apt;140;131
Brooklyn;Private room;80;0
Manhattan;Private room;359;0
Brooklyn;Private room;80;1
Brooklyn;Private room;935;0
Queens;Entire home/apt;120;1
Bronx;Entire home/apt;85;4
Brooklyn;Entire home/apt;100;3
Brooklyn;Private room;64;7
Manhattan;Private room;75;3
Manhattan;Private room;62;32
Manhattan;Entire home/apt;96;5
Manhattan;Entire home/apt;350;0
Manhattan;Entire home/apt;100;0
Brooklyn;Entire home/apt;290;4
Manhattan;Private room;50;12
Manhattan;Entire home/apt;150;0
Manhattan;Private room;81;27
Queens;Private room;70;18
Brooklyn;Private room;70;31
Manhattan;Private room;150;0
Brooklyn;Entire home/apt;95;10
Brooklyn;Entire home/apt;150;1
Brooklyn;Entire home/apt;169;136
Brooklyn;Private room;25;0
Manhattan;Entire home/apt;154;0
Manhattan;Entire home/apt;140;1
Manhattan;Entire home/apt;130;5
Brooklyn;Private room;60;53
Manhattan;Entire home/apt;250;0
Brooklyn;Private room;55;2
Brooklyn;Private room;150;0
Brooklyn;Private room;45;2
Brooklyn;Entire home/apt;199;164
Manhattan;Entire home/apt;290;3
Manhattan;Entire home/apt;85;7
Manhattan;Entire home/apt;150;3
Brooklyn;Entire home/apt;60;23
Brooklyn;Entire home/apt;170;55
Queens;Private room;47;15
Brooklyn;Private room;55;60
Manhattan;Entire home/apt;195;80
Manhattan;Entire home/apt;186;139
Manhattan;Entire home/apt;99;3
Manhattan;Entire home/apt;155;0
Brooklyn;Private room;60;27
Brooklyn;Private room;100;1
Manhattan;Entire home/apt;500;3
Brooklyn;Entire home/apt;150;68
Manhattan;Entire home/apt;175;3
Manhattan;Entire home/apt;148;104
Manhattan;Private room;130;44
Manhattan;Private room;80;3
Manhattan;Entire home/apt;150;5
Brooklyn;Entire home/apt;285;17
Manhattan;Private room;70;1
Manhattan;Entire home/apt;150;0
Brooklyn;Entire home/apt;155;1
Manhattan;Private room;82;4
Manhattan;Entire home/apt;200;5
Brooklyn;Private room;60;0
Manhattan;Private room;150;0
Manhattan;Private room;159;17
Manhattan;Private room;38;11
Manhattan;Entire home/apt;155;12
Brooklyn;Entire home/apt;184;79
Queens;Private room;65;122
Manhattan;Entire home/apt;150;0
Brooklyn;Private room;50;70
Brooklyn;Private room;60;34
Manhattan;Private room;100;8
Queens;Private room;60;26
Manhattan;Entire home/apt;110;0
Brooklyn;Private room;50;2
Manhattan;Entire home/apt;325;0
Manhattan;Entire home/apt;225;60
Manhattan;Entire home/apt;190;53
Brooklyn;Entire home/apt;119;4
Manhattan;Entire home/apt;650;3
Bronx;Entire home/apt;104;33
Manhattan;Entire home/apt;175;4
Brooklyn;Private room;190;0
